feature,score,min,max,n_null,n_gt1w
x956,957,-1,61,4421,0,numeric
x359,956,0.0,1134854.0,0,9358,numeric
x122,953,-1.0,66.67,92,0,numeric
x634,942,-1,25110,19,2,numeric
x112,940,-1.0,53.13,19,0,numeric
x24,940,-1.0,52.78,131,0,numeric
x287,939,-1,33082,19,30,numeric
x383,939,-1,141,19,0,numeric
x685,934,-1,241519,19,1893,numeric
x337,933,-1,735485,19,231,numeric
x946,933,-1.0,2944.04,285,0,numeric
x494,933,-1,300,19,0,numeric
x113,933,-1.0,51.76,19,0,numeric
x89,932,-1.0,100.0,131,0,numeric
x230,932,-1.0,16.43,19,0,numeric
x83,928,-1.0,100.0,92,0,numeric
x85,928,-1.0,27.94,92,0,numeric
x950,928,-86.86,9810.62,161,0,numeric
x1026,927,-1,97,19,0,numeric
x3,925,-1.0,48.99,19,0,numeric
x1018,923,-1,191,19,0,numeric
x824,922,-1,192,19,0,numeric
x179,922,-1.0,51.61,92,0,numeric
x118,920,-1.0,79.38,92,0,numeric
x16,920,-1.0,72.57,92,0,numeric
x131,917,-1.0,42.86,131,0,numeric
x757,916,-1,96,19,0,numeric
x760,912,-1,12692,19,2,numeric
x342,912,-1,5613,19,0,numeric
x164,911,-1.0,50.0,131,0,numeric
x44,910,-1.0,53.6,19,0,numeric
x209,910,-1.0,28.57,92,0,numeric
x864,906,-1,7078,19,0,numeric
x583,906,-1,792,19,0,numeric
x552,906,-1,257,41,0,numeric
x530,905,-1,30046,19,19,numeric
x397,905,-1,1007,19,0,numeric
x750,903,-1,11385,19,1,numeric
x155,896,-1.0,42.86,92,0,numeric
x216,895,-1.0,66.67,131,0,numeric
x7,895,-1.0,58.6,19,0,numeric
x180,890,-1.0,33.33,92,0,numeric
x472,886,-1,395,20,0,numeric
x768,882,-1,69027,19,31,numeric
x102,882,-1.0,100.0,130,0,numeric
x952,880,-182.05,8902.83,206,0,numeric
x865,879,-1,20835,19,1,numeric
x826,876,-1,8361,19,0,numeric
x958,876,-1.0,278.69,6105,0,numeric
x201,876,-1.0,14.92,19,0,numeric
x981,875,-1,182,19,0,numeric
x90,875,-1.0,100.0,131,0,numeric
x651,874,-1,549,19,0,numeric
x254,873,-1,24779,19,1,numeric
x687,871,-1,19156,19,29,numeric
x194,871,-1.0,12.24,19,0,numeric
x133,869,-1.0,61.62,83,0,numeric
x20,867,-1.0,100.0,131,0,numeric
x163,863,-1.0,100.0,131,0,numeric
x91,863,-1.0,60.06,83,0,numeric
x613,860,-1,83075,19,107,numeric
