贵阳历史天气预报 ,,,
日期,天气状况,气温,风力风向
2015年5月3日,阵雨 /阵雨,25℃ / 15℃,东北风 ≤3级 /东北风 ≤3级
2015年5月4日,阵雨 /阵雨,20℃ / 14℃,东北风 ≤3级 /东北风 ≤3级
2015年5月5日,阵雨 /阵雨,21℃ / 15℃,南风 ≤3级 /南风 ≤3级
2015年5月6日,多云 /多云,25℃ / 16℃,东北风 ≤3级 /南风 ≤3级
2015年5月7日,阵雨 /雷阵雨,23℃ / 17℃,东南风 ≤3级 /东南风 ≤3级
2015年5月8日,阵雨 /多云,25℃ / 15℃,东南风 ≤3级 /东北风 ≤3级
2015年5月9日,阵雨 /阵雨,23℃ / 16℃,东北风 ≤3级 /东南风 ≤3级
2015年5月10日,阵雨 /雷阵雨,25℃ / 14℃,南风 ≤3级 /南风 ≤3级
2015年5月11日,多云 /多云,24℃ / 13℃,东北风 ≤3级 /东北风 ≤3级
2015年5月12日,阴 /雷阵雨,24℃ / 13℃,南风 ≤3级 /南风 ≤3级
2015年5月13日,多云 /阵雨,26℃ / 19℃,东南风 ≤3级 /东南风 ≤3级
2015年5月14日,多云 /雷阵雨,27℃ / 20℃,东南风 ≤3级 /南风 ≤3级
2015年5月15日,阵雨 /阵雨,25℃ / 16℃,东北风 ≤3级 /东北风 ≤3级
2015年5月16日,阴 /雷阵雨,23℃ / 17℃,东北风 ≤3级 /东风 ≤3级
2015年5月17日,阵雨 /雷阵雨,25℃ / 17℃,东北风 ≤3级 /南风 ≤3级
2015年5月18日,多云 /多云,25℃ / 18℃,东北风 ≤3级 /东北风 ≤3级
2015年5月19日,阵雨 /大雨,25℃ / 18℃,东北风 ≤3级 /南风 ≤3级
2015年5月20日,阴 /阵雨,23℃ / 17℃,东北风 ≤3级 /东北风 ≤3级
2015年5月21日,阴 /阵雨,24℃ / 16℃,东风 ≤3级 /东风 ≤3级
2015年5月22日,阵雨 /阵雨,19℃ / 14℃,东风 ≤3级 /东风 ≤3级
2015年5月23日,阵雨 /阴,19℃ / 14℃,东北风 ≤3级 /东北风 ≤3级
2015年5月24日,多云 /阴,24℃ / 18℃,东风 ≤3级 /东南风 ≤3级
2015年5月25日,多云 /阵雨,26℃ / 19℃,东南风 ≤3级 /东南风 ≤3级
2015年5月26日,阵雨 /雷阵雨,26℃ / 20℃,东南风 ≤3级 /东北风 ≤3级
2015年5月27日,阴 /阵雨,26℃ / 20℃,南风 ≤3级 /东北风 ≤3级
2015年5月28日,多云 /雷阵雨,29℃ / 19℃,南风 ≤3级 /东南风 ≤3级
2015年5月29日,阵雨 /阵雨,24℃ / 17℃,东南风 ≤3级 /东北风 ≤3级
2015年5月30日,阵雨 /阵雨,23℃ / 17℃,东北风 ≤3级 /东风 ≤3级
2015年5月31日,阵雨 /阵雨,25℃ / 19℃,东风 ≤3级 /南风 ≤3级
2015年6月1日,阵雨 /大雨,29℃ / 21℃,南风 ≤3级 /南风 ≤3级
2015年6月2日,阵雨 /大雨,27℃ / 21℃,南风 ≤3级 /东北风 ≤3级
2015年6月3日,阵雨 /阵雨,24℃ / 19℃,东风 ≤3级 /东北风 ≤3级
2015年6月4日,阵雨 /阵雨,24℃ / 18℃,东南风 ≤3级 /东北风 ≤3级
2015年6月5日,阴 /阵雨,23℃ / 18℃,东北风 ≤3级 /东南风 ≤3级
2015年6月6日,阴 /阵雨,25℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年6月7日,阵雨 /阵雨,21℃ / 18℃,东北风 ≤3级 /东北风 ≤3级
2015年6月8日,阵雨 /阵雨,21℃ / 17℃,东北风 ≤3级 /东北风 ≤3级
2015年6月9日,阴 /阵雨,25℃ / 19℃,东北风 ≤3级 /东南风 ≤3级
2015年6月10日,中雨 /中雨,25℃ / 18℃,东北风 ≤3级 /东北风 ≤3级
2015年6月11日,多云 /多云,25℃ / 20℃,东南风 ≤3级 /东北风 ≤3级
2015年6月12日,多云 /中雨,28℃ / 19℃,南风 ≤3级 /东北风 ≤3级
